City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,ancud,-41.8697,-73.8203,11.7,91,92,3.62,CL,2024-06-11
292,saint-joseph,-21.3667,55.6167,22.21,85,100,4.44,RE,2024-06-11
293,moultonborough,43.7548,-71.3967,21.78,73,77,0.45,US,2024-06-11
294,kristiansund,63.1115,7.732,9.03,87,75,1.54,NO,2024-06-11
295,san patricio,28.017,-97.5169,35.05,43,6,8.26,US,2024-06-11
296,tazacorte,28.629,-17.9293,20.54,79,75,7.2,ES,2024-06-11
297,jiuquan,39.7432,98.5174,23.77,20,91,5.13,CN,2024-06-11
298,mambolo,8.9231,-13.0444,27.16,90,61,1.43,SL,2024-06-11
299,carbonear,47.7332,-53.2148,19.91,73,64,4.54,CA,2024-06-11
300,fernley,39.608,-119.2518,37.34,11,2,2.68,US,2024-06-11
301,undurkhaan,47.3194,110.6556,14.38,73,100,2.72,MN,2024-06-11
302,tripoli,32.8752,13.1875,27.21,62,1,9.27,LY,2024-06-11
303,richards bay,-28.783,32.0377,18.37,60,81,7.28,ZA,2024-06-11
304,tulun,54.5611,100.5792,11.33,84,73,2.2,RU,2024-06-11
305,tuy hoa,13.0833,109.3,26.85,75,33,2.98,VN,2024-06-11
306,hadibu,12.65,54.0333,27.9,75,100,6.43,YE,2024-06-11
307,orekhovo-zuyevo,55.8108,38.9719,19.48,98,87,2.32,RU,2024-06-11
308,omutinskiy,56.4745,67.6709,11.76,83,95,3.25,RU,2024-06-11
309,menongue,-14.6585,17.691,9.91,44,6,1.84,AO,2024-06-11
310,codrington,-38.2667,141.9667,11.05,60,98,8.63,AU,2024-06-11
311,huarmey,-10.0681,-78.1522,20.08,76,50,3.27,PE,2024-06-11
312,queenstown,-31.8976,26.8753,10.98,31,100,4.53,ZA,2024-06-11
313,oyama,36.3,139.8,24.21,76,97,0.9,JP,2024-06-11
314,malanje,-9.5402,16.341,15.67,41,6,1.31,AO,2024-06-11
315,jiangzi,28.95,89.6333,7.75,50,17,0.49,CN,2024-06-11
316,zanjan,36.6736,48.4787,17.0,70,26,0.43,IR,2024-06-11
317,afaahiti,-17.75,-149.2833,26.93,66,45,8.7,PF,2024-06-11
318,hotan,37.0997,79.9269,24.69,28,99,1.71,CN,2024-06-11
319,dabeiba,7.0017,-76.2672,27.37,73,97,0.45,CO,2024-06-11
320,xining,36.6167,101.7667,11.99,68,95,1.19,CN,2024-06-11
321,haiku-pauwela,20.9219,-156.3051,28.43,71,0,11.83,US,2024-06-11
322,peace river,56.2501,-117.286,13.17,87,75,2.57,CA,2024-06-11
323,marsa alam,25.0757,34.8918,31.14,30,0,3.52,EG,2024-06-11
324,barra de santo antonio,-9.4047,-35.5072,24.6,84,58,2.81,BR,2024-06-11
325,binhe,32.6883,112.8275,24.94,77,25,3.35,CN,2024-06-11
326,port blair,11.6667,92.75,28.02,89,40,2.57,IN,2024-06-11
327,tayoltita,24.0833,-105.9333,38.02,33,37,3.33,MX,2024-06-11
328,arequipa,-16.3989,-71.535,20.04,16,0,2.57,PE,2024-06-11
329,patnongon,10.9132,121.9937,27.6,76,100,1.55,PH,2024-06-11
330,coquimbo,-29.9533,-71.3436,11.85,100,100,3.09,CL,2024-06-11
331,nikolayevsk-on-amure,53.1406,140.73,6.79,98,100,1.79,RU,2024-06-11
332,emerald,-23.5333,148.1667,16.44,39,0,2.21,AU,2024-06-11
333,pontal do parana,-25.6533,-48.5128,19.08,98,42,1.15,BR,2024-06-11
334,gadzhiyevo,69.2551,33.3362,6.21,96,83,3.74,RU,2024-06-11
335,taoudenni,22.6783,-3.9836,38.24,12,16,5.1,ML,2024-06-11
336,inirida,3.8653,-67.9239,27.14,88,62,0.94,CO,2024-06-11
337,isangel,-19.55,169.2667,26.06,83,40,2.57,VU,2024-06-11
338,papao,-17.75,-149.55,27.82,67,28,9.8,PF,2024-06-11
339,soio,-6.1349,12.3689,22.81,94,12,3.46,AO,2024-06-11
340,berezovyy,51.6667,135.7,6.84,97,100,1.19,RU,2024-06-11
341,clarion,41.2148,-79.3853,19.2,68,90,1.99,US,2024-06-11
342,igarka,67.4667,86.5833,11.68,88,100,5.36,RU,2024-06-11
343,sitka,57.0531,-135.33,10.2,83,100,3.0,US,2024-06-11
344,dadukou,26.5479,101.7054,22.93,88,99,1.02,CN,2024-06-11
